	dev_accuracy	dev_f1	dev_precision	dev_recall
0	0.9891215891077899	0	0	0
1	0.9902626811594203	0	0	0
2	0.9904855921648551	0	0	0
3	0.9909084154211957	0	0	0
4	0.9913825435914855	0	0	0
5	0.9921857308650361	0	0	0
6	0.9924988677536232	0	0	0
7	0.9931729081748188	0	0	0
8	0.9932012143342391	0	0	0
9	0.9937832597373188	0	0	0
10	0.9933816661005435	0	0	0
11	0.9930313773777174	0	0	0
12	0.9932985167572465	0	0	0
13	0.9932171365489131	0	0	0
14	0.9933002858922101	0	0	0
15	0.993362205615942	0	0	0
16	0.993454200634058	0	0	0
17	0.9928827700407609	0	0	0
18	0.9929039996603262	0	0	0
19	0.9931640625	0	0	0
